Ticker,Company Name
NVDA,NVIDIA Corporation
MSFT,Microsoft Corporation
AAPL,Apple Inc.
GOOGL,Alphabet Inc.
AMZN,"Amazon.com, Inc."
META,"Meta Platforms, Inc."
AVGO,Broadcom Inc.
BRK.B,Berkshire Hathaway Inc.
TSLA,"Tesla, Inc."
TSM,Taiwan Semiconductor Manufacturing Company Limited
JPM,JPMorgan Chase & Co.
WMT,Walmart Inc.
V,Visa Inc.
LLY,Eli Lilly and Company
ORCL,Oracle Corporation
MA,Mastercard Incorporated
NFLX,"Netflix, Inc."
XOM,Exxon Mobil Corporation
JNJ,Johnson & Johnson
COST,Costco Wholesale Corporation
HD,"The Home Depot, Inc."
BAC,Bank of America Corporation
ABBV,AbbVie Inc.
PLTR,Palantir Technologies Inc.
PG,The Procter & Gamble Company
CVX,Chevron Corporation
SAP,SAP SE
BABA,Alibaba Group Holding Limited
KO,The Coca-Cola Company
GE,General Electric Company
ASML,ASML Holding N.V.
TMUS,"T-Mobile US, Inc."
UNH,UnitedHealth Group Incorporated
CSCO,"Cisco Systems, Inc."
WFC,Wells Fargo & Company
AMD,"Advanced Micro Devices, Inc."
PM,Philip Morris International Inc.
TM,Toyota Motor Corporation
NVO,Novo Nordisk A/S
AZN,AstraZeneca PLC
NVS,Novartis AG
CRM,"Salesforce, Inc."
MS,Morgan Stanley
GS,"The Goldman Sachs Group, Inc."
AXP,American Express Company
ABT,Abbott Laboratories
IBM,International Business Machines Corporation
LIN,Linde plc
HSBC,HSBC Holdings plc
,
